                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.1696,                 2.5256,                  1.508,                 1.3675,                0.49049,                0.51545,                0.46028,                0.18016,                0.51462,                0.51575,                0.45614,                 0.1468,                 1.4302,                 1.6818,                 1.3879,                0.97149,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.1594,                 2.5011,                 1.4982,                 1.3593,                0.55934,                 0.4685,                0.48003,                0.21754,                 0.6434,                0.48819,                0.51326,                0.19201,                 1.3759,                 1.7137,                 1.6848,                 0.9594,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.1466,                 2.4939,                 1.4894,                  1.355,                0.47913,                0.46063,                0.42756,                0.19034,                0.47337,                0.42913,                0.41317,                0.15362,                 1.4083,                 1.8325,                 2.2025,                0.96314,               0.001505,               0.001505,               0.001505
                     27,                 2.1537,                 2.4695,                 1.4657,                 1.3408,                 0.4434,                0.44094,                0.37253,                0.12566,                0.42756,                 0.4252,                0.34121,                0.11027,                 1.4449,                 1.6274,                 1.1679,                0.98741,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.1077,                 2.4522,                 1.4884,                 1.3738,                0.51776,                0.45669,                 0.4458,                0.17454,                0.56426,                0.45669,                0.43275,                0.14206,                 1.4095,                  1.649,                 2.6336,                0.96896,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.1171,                 2.4631,                  1.465,                 1.3769,                0.49847,                0.53999,                0.48019,                0.20839,                0.47678,                0.50787,                0.44259,                0.15979,                 1.3964,                 1.6859,                  1.016,                0.94621,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.1061,                 2.4658,                 1.4504,                 1.3424,                0.64666,                0.50394,                0.50463,                0.21979,                0.67243,                0.51969,                0.52223,                0.18315,                 1.3768,                  1.876,                 1.2664,                0.97231,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.1077,                 2.4549,                 1.4292,                 1.3211,                0.50829,                0.50787,                0.48919,                0.20601,                0.49181,                0.47244,                0.44235,                0.15521,                 1.4097,                 1.8799,                 1.3665,                0.98038,               0.001406,               0.001406,               0.001406
                     32,                 2.1268,                 2.4576,                 1.4268,                 1.3179,                0.46871,                0.52756,                0.38372,                0.15861,                0.47631,                 0.5315,                0.37165,                0.13476,                 1.4246,                 1.5857,                 1.2231,                0.97954,              0.0013862,              0.0013862,              0.0013862
                     33,                 2.0976,                 2.3709,                 1.4228,                 1.3177,                0.51818,                0.57087,                0.47134,                 0.1936,                0.50013,                0.57087,                0.43166,                0.15483,                 1.4357,                 1.7042,                0.96252,                0.96655,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.0649,                 2.4217,                 1.4034,                 1.2958,                0.43543,                0.50787,                0.40547,                0.16867,                0.44385,                0.51181,                0.38472,                 0.1405,                 1.3477,                 1.6939,                 1.0171,                0.92915,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.1106,                 2.4634,                 1.3988,                 1.3296,                0.45116,                0.58661,                0.41542,                0.15768,                0.41236,                0.58268,                0.38262,                0.12791,                 1.4293,                 1.6443,                 3.3403,                0.98247,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.0714,                 2.4034,                  1.415,                 1.3196,                0.57041,                0.55512,                0.51654,                0.23135,                0.60423,                 0.5748,                0.52425,                 0.1916,                 1.3819,                 1.8561,                 1.8337,                0.94354,               0.001307,               0.001307,               0.001307
                     37,                 2.0867,                 2.4639,                 1.3893,                 1.3179,                0.60177,                 0.5748,                 0.5416,                 0.2389,                0.58941,                0.56299,                0.52833,                0.20351,                 1.3418,                 1.6641,                0.88724,                0.92615,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.0728,                 2.4143,                 1.3769,                 1.3208,                0.55491,                0.54724,                0.50249,                0.21942,                 0.5589,                0.55118,                0.50016,                0.18853,                 1.3675,                 1.6321,                   1.05,                0.93872,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.0598,                  2.429,                 1.3621,                 1.2952,                0.59884,                0.51719,                0.49833,                0.21764,                0.60921,                    0.5,                 0.4815,                0.17803,                 1.4119,                 1.6873,                 1.5184,                0.94794,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.0845,                 2.4253,                 1.3675,                 1.3057,                0.61855,                0.43701,                0.46499,                0.18963,                 0.6726,                0.41732,                0.44784,                0.14595,                 1.4312,                 1.6052,                 1.0699,                 0.9655,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.0559,                 2.4109,                 1.3448,                 1.2915,                 0.5936,                0.57874,                0.54543,                0.24019,                0.57981,                0.57043,                0.51558,                0.19802,                 1.3961,                 1.5892,                 1.5143,                0.96199,               0.001208,               0.001208,               0.001208
                     42,                 2.0796,                 2.3853,                 1.3767,                 1.3088,                0.54344,                 0.5315,                0.48976,                0.21109,                0.55678,                0.50787,                0.48699,                0.17512,                 1.3531,                 1.6402,                 1.0513,                0.93408,              0.0011882,              0.0011882,              0.0011882
                     43,                  2.056,                 2.3803,                 1.3685,                 1.2835,                0.53505,                0.50394,                0.48294,                0.21844,                0.51082,                0.52756,                0.46891,                0.16851,                 1.4179,                 1.5908,                 1.0182,                0.94771,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.0469,                 2.3809,                 1.3657,                 1.2907,                0.51715,                 0.5018,                0.44437,                0.16598,                0.51519,                0.48819,                 0.4239,                0.14368,                  1.462,                 1.6098,                 1.4448,                0.95104,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.0733,                 2.3773,                 1.3413,                 1.2765,                0.62826,                0.52756,                0.55456,                0.24922,                0.65697,                0.53534,                0.55508,                0.20234,                 1.3538,                 1.5653,                0.89097,                0.89638,              0.0011288,              0.0011288,              0.0011288
